# File: A_renewable_energy_standards.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy RES coefficients; outputs; and price multipliers,,,,,,,,,,,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,,,,,,,,,,,
# Comment: policy.portfolio standard is just name of policy; variable can either be 'input-coef' to define the target or 'pMultiplier' to define price multiplier,,,,,,,,,,,,,,,,,,,,,,
# Comment: tech_mapping defines the technologies with the policy as an input; sec.out is the set of technologies that output the policy,,,,,,,,,,,,,,,,,,,,,,
# Comment: sec.out.type defines the output ratio for the sec.out technologies; 'standard' is 1; 'electricity' is based on the coefficients (losses); 'fossil.conv' is 1 divided by efficiency,,,,,,,,,,,,,,,,,,,,,,
# Comment: note the RES input coefficients for heat pump will be multiplied by calculated ambient heat efficiency,,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,variable,tech_mapping,sec.out,sec.out.type,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_feres_eu_necp,Slovakia,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.22478132,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157
policy_feres_eu_necp,Slovenia,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.275533001,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582
policy_feres_eu_necp,Spain,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.298930724,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677
policy_feres_eu_necp,Sweden,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.590658631,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282
policy_feres_eu_necp,Austria,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.440553213,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112
policy_feres_eu_necp,Belgium,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.174526553,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436
policy_feres_eu_necp,Bulgaria,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.279897092,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487
policy_feres_eu_necp,Croatia,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.377594594,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943
policy_feres_eu_necp,Cyprus,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.277734326,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233
policy_feres_eu_necp,Czech Republic,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.23058015,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964
policy_feres_eu_necp,Denmark,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.46689637,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208
policy_feres_eu_necp,Estonia,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.423875588,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867
policy_feres_eu_necp,Finland,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.579200149,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823
policy_feres_eu_necp,France,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.272495528,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226
policy_feres_eu_necp,Germany,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.281815863,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377
policy_feres_eu_necp,Greece,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.330029392,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322
policy_feres_eu_necp,Hungary,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.206923586,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237
policy_feres_eu_necp,Ireland,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.255091021,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637
policy_feres_eu_necp,Italy,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.21735657,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966
policy_feres_eu_necp,Latvia,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.503960004,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047
policy_feres_eu_necp,Lithuania,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.347348741,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595
policy_feres_eu_necp,Luxembourg,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.29384266,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171
policy_feres_eu_necp,Malta,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.167269307,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796
policy_feres_eu_necp,Netherlands,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.249359644,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528
policy_feres_eu_necp,Poland,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.222798327,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861
policy_feres_eu_necp,Portugal,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.407846961,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449
policy_feres_eu_necp,Romania,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.289381604,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208
policy_feres_eu_necp,Slovakia,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.22478132,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157
policy_feres_eu_necp,Slovenia,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.275533001,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582
policy_feres_eu_necp,Spain,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.298930724,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677
policy_feres_eu_necp,Sweden,FE_RES_N,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.590658631,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282
policy_feres_eu_2025,EU,FE_RES_2025,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu_2025,EU,FE_RES_2025,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu_2025,EU,FE_RES_2025,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.3,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425
policy_feres_eu_calib2025dummy,Austria,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.440553213,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Belgium,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.174526553,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Bulgaria,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.279897092,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Croatia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.377594594,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Cyprus,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.277734326,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Czech Republic,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.23058015,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Denmark,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.46689637,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Estonia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.423875588,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Finland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.579200149,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,France,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.272495528,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Germany,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.281815863,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Greece,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.330029392,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Hungary,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.206923586,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Ireland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.255091021,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Italy,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.21735657,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Latvia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.503960004,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Lithuania,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.347348741,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Luxembourg,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.29384266,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Malta,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.167269307,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Netherlands,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.249359644,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Poland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.222798327,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Portugal,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.407846961,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Romania,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.289381604,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovakia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.22478132,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovenia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.275533001,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Spain,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.298930724,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Sweden,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.590658631,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Austria,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.440553213,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Belgium,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.174526553,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Bulgaria,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.279897092,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Croatia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.377594594,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Cyprus,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.277734326,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Czech Republic,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.23058015,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Denmark,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.46689637,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Estonia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.423875588,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Finland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.579200149,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,France,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.272495528,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Germany,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.281815863,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Greece,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.330029392,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Hungary,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.206923586,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Ireland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.255091021,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Italy,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.21735657,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Latvia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.503960004,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Lithuania,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.347348741,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Luxembourg,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.29384266,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Malta,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.167269307,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Netherlands,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.249359644,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Poland,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.222798327,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Portugal,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.407846961,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Romania,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.289381604,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovakia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.22478132,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovenia,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.275533001,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Spain,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.298930724,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Sweden,FE_RES_CALIB,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.590658631,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Austria,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.440553213,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Belgium,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.174526553,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Bulgaria,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.279897092,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Croatia,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.377594594,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Cyprus,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.277734326,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Czech Republic,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.23058015,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Denmark,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.46689637,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Estonia,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.423875588,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Finland,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.579200149,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,France,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.272495528,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Germany,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.281815863,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Greece,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.330029392,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Hungary,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.206923586,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Ireland,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.255091021,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Italy,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.21735657,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Latvia,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.503960004,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Lithuania,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.347348741,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Luxembourg,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.29384266,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Malta,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.167269307,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Netherlands,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.249359644,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Poland,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.222798327,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Portugal,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.407846961,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Romania,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.289381604,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovakia,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.22478132,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Slovenia,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.275533001,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Spain,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.298930724,,,,,,,,,,,,,,,
policy_feres_eu_calib2025dummy,Sweden,FE_RES_CALIB,input-coefficient,HEAT_PUMPS,HEAT_PUMPS,heat.pump,0.590658631,,,,,,,,,,,,,,,
